id,name,sex,age,city,subgenre,labddel
18k,18 Karat,m,,Dortmund,Strassenrap,Banger Musik
187,187 Strassenbande,m,,Hamburg,Strassenrap,187 Strassenbande
abd,abdi,m,07.08.1987,Frankfurt,Strassenrap,Azzlackz
av,AchtVier,m,26.10.1984,Hamburg,Strassenrap,Steuerfrei Money
ahz,AHZUMJOT,m,05.07.1989,Hamburg,Trap,
aje,AJE,m,,Darmstadt,Strassenrap,
ak,AK Ausserkontrolle,m,,Berlin,Strassenrap,XY Records
alg,Al-Gear,m,10.10.1984,Düsseldorf,Battlerap,Milfhunter Records
ali,Ali As,m,15.07.1979,München,Mainstream/Entertainment,Four Music
alib,Ali Bumaye,m,1985,Berlin,Battlerap,ersguterjunge
all,Alligatoah,m,18.09.1989,Langen,Mainstream/Entertainment,Trailerpark
ag,Alpa Gun,m,04.07.1980,Berlin,Strassenrap,Sektenmuzik
am,Amar,m,1983,,Strassenrap,Chapter ONE
an,Animus,m,16.08.1982,Heidelberg,Battlerap,Bozz Musik
ano,Anonym,m,,Hannover,Strassenrap,Major Movez
abdd,Ardian bujupi,m,27.04.1991,Heidelberg,Afrotrap/Dancehall,Columbia Deutschland
ase,Asek,m,,Berlin,Strassenrap,Tempeltainment
as,Aslan,m,,Basel,Strassenrap,Igroove Ag
au,Automatikk,m,,Nürnberg,Battlerap,Automatikk
aza,Azad,m,24.11.1973,Frankfurt,Strassenrap,Bozz Musik
aze,Azero,m,,Berlin,Strassenrap,B. E. K.
az,Azet,m,06.03.1993,Dresden,Afrotrap/Dancehall,KMN Gang
azr,Azro,m,,Frankfurt,Strassenrap,385idéal
azz,Azzi Memo,m,1994,Hanau am Main,Afrotrap/Dancehall,Azzlackz
bs,Babdda Saad,m,26.11.1985,Bremen,Strassenrap,ersguterjunge
ban,Bandit,m,,Glarus,Battlerap,Nation Music
bar,Bartek,m,1983,Stuttgart,"Mainstream/Entertainment
",Chimperator
bsh,Bass Sultan Hengzt,m,14.08.1981,Berlin,Battlerap,Bassboxxx
bas,Basstard,m,22.05.1982,Berlin,Oldschool,Horrorkore Entertainment
